positive_ratings,negative_ratings,owners,average_playtime,median_playtime,price
1732,846,1500000.0,20,25,4.99
1186,450,1500000.0,62,43,7.19
6242,347,1500000.0,324,245,4.99
649,433,750000.0,24,31,4.99
1135,210,750000.0,254,368,6.99
1656,243,750000.0,714,725,4.99
175,61,75000.0,0,0,3.99
248,15,75000.0,0,0,6.99
809,279,350000.0,0,0,8.99
963,55,150000.0,4774,4774,25.99
236,90,150000.0,14,14,6.99
86,65,150000.0,0,0,6.99
69,54,35000.0,0,0,6.99
8,4,10000.0,0,0,6.99
1566,981,750000.0,313,341,6.99
3054,2051,750000.0,327,403,14.99
153,194,350000.0,320,330,6.99
1114,570,750000.0,165,253,5.99
355,153,350000.0,46,46,5.99
420,82,350000.0,1244,1261,2.99
385,32,750000.0,66,82,2.99
417,53,750000.0,18,18,2.99
57,54,750000.0,0,0,2.99
2165,136,1500000.0,2235,2224,2.99
146,138,750000.0,0,0,2.99
1664,257,350000.0,0,0,3.99
34,50,35000.0,0,0,1.99
539,270,150000.0,113,113,3.99
8725,821,1500000.0,1417,1503,19.99
1964,389,750000.0,239,280,6.99
1223,724,350000.0,209,209,4.99
89,103,75000.0,0,0,3.99
1779,594,750000.0,313,565,6.99
1028,542,350000.0,132,132,6.99
33636,3231,3500000.0,519,272,9.99
78,71,150000.0,0,0,0.0
44,33,150000.0,0,0,0.0
69,77,150000.0,0,0,1.99
218,25,150000.0,0,0,22.99
583,62,150000.0,109,109,2.99
8317,2832,1500000.0,5123,230,0.0
1684,348,1500000.0,1636,218,2.49
174,16,75000.0,0,0,4.99
1396,66,1500000.0,108,108,5.99
79442,3846,3500000.0,614,519,19.99
197,150,350000.0,16,16,2.99
121,28,350000.0,23,23,2.99
129030,5565,7500000.0,4760,1797,19.99
35,14,35000.0,0,0,3.49
200,36,350000.0,0,0,2.49
3084,276,350000.0,32,48,3.99
143,15,350000.0,88,91,2.49
205,13,350000.0,129,152,2.49
2633,376,350000.0,362,394,0.0
173,39,350000.0,10,10,2.99
310,69,750000.0,7,12,0.0
737,51,350000.0,145,145,2.99
9394,2882,1500000.0,559,392,7.99
606,76,750000.0,213,365,9.99
579,52,3500000.0,79,106,9.99
1065,162,1500000.0,306,306,8.99
4969,174,1500000.0,803,1067,8.99
4887,286,1500000.0,1433,1629,9.99
378,229,350000.0,154,154,9.99
9442,2881,3500000.0,322,81,9.99
160,94,350000.0,23,23,5.99
42,54,75000.0,0,0,6.99
157,38,35000.0,0,0,1.99
428,145,150000.0,64,84,3.99
82,56,35000.0,0,0,13.99
2081,823,1500000.0,12952,724,0.0
7639,2391,1500000.0,2514,638,0.0
746,149,75000.0,222,360,1.99
9,13,10000.0,0,0,4.79
5,24,10000.0,0,0,6.99
48,24,35000.0,23,23,4.99
19595,1483,1500000.0,2331,1108,19.99
125,32,150000.0,10,19,14.99
143,42,150000.0,10,10,9.99
14,16,10000.0,0,0,6.99
623,159,150000.0,0,0,9.99
50,28,10000.0,0,0,6.99
3702,904,750000.0,645,1001,14.99
30006,2826,7500000.0,999,580,19.99
641,1101,75000.0,411,411,8.99
25,63,10000.0,0,0,5.59
15,10,10000.0,0,0,4.99
12,12,10000.0,0,0,4.99
5,10,10000.0,0,0,4.99
618,252,75000.0,889,889,9.99
47,50,35000.0,0,0,9.99
14928,1719,3500000.0,3176,1385,19.99
9448,1186,1500000.0,170,168,9.99
8252,1244,3500000.0,902,87,0.0
114,43,150000.0,0,0,6.99
94,45,35000.0,0,0,6.99
59,130,150000.0,0,0,0.0
178,49,150000.0,0,0,6.99
98,54,75000.0,0,0,6.99
300,94,150000.0,0,0,6.99
328,239,350000.0,355,374,6.99
351,142,75000.0,46,49,1.79
299,310,350000.0,15,15,3.99
20,9,75000.0,0,0,5.59
78,56,75000.0,0,0,5.59
902,129,150000.0,91,97,4.79
586,130,150000.0,41,69,3.99
523,161,150000.0,76,108,3.99
433,148,150000.0,36,36,3.99
3439,276,1500000.0,304,304,3.49
273,61,150000.0,0,0,3.99
69,44,35000.0,0,0,3.49
175,301,350000.0,119,176,3.49
